"","SRR6898209","SRR6898210","SRR8094748","SRR8094749","SRR8094750","SRR8094751","SRR6898193","SRR6898194","SRR6898195","SRR6898211"
"UNC45A",1768,2105,705,649,667,354,810,627,586,375
"HDDC3",88,86,109,193,185,104,53,126,83,97
"AC068831.3",0,1,0,0,0,0,0,1,3,0
"AC068831.6",5,8,0,0,6,2,0,2,4,0
"RCCD1",511,974,290,339,665,385,152,356,356,170
"PRC1",566,1355,25,33,5,7,41,55,10,41
"PRC1-AS1",0,9,1,0,0,1,1,2,0,0
"VPS33B",517,593,156,178,210,215,208,252,155,112
"AC068831.10",4,5,0,2,0,0,2,2,3,4
"SV2B",6,2,26,2,2,3,0,2,0,18
"RP11-661P17.1",4,3,10,8,0,6,2,6,7,14
"RP11-692C24.1",0,0,0,0,0,0,0,0,0,0
"RP11-692C24.2",0,0,0,0,0,0,0,0,0,0
"SLCO3A1",9,1,285,151,143,14,85,95,10,20
"RP11-152L20.3",0,0,0,0,0,0,0,0,0,0
"RP11-24J19.1",0,0,0,0,0,0,0,0,0,0
"ST8SIA2",0,0,0,0,0,0,0,0,0,0
"RP11-763K15.1",0,0,0,0,0,0,0,0,0,0
"C15orf32",0,0,0,0,0,0,0,0,0,0
"LINC00930",0,0,0,2,6,0,4,0,0,0
"RP11-386M24.3",0,0,0,0,0,0,0,0,0,0
"RP11-386M24.6",0,0,0,0,0,0,0,0,0,0
"RP11-386M24.9",0,0,2,0,0,0,2,4,8,1
"FAM174B",140,192,282,170,212,23,222,132,143,45
"CHD2",3565,4333,1466,1101,1086,849,1362,2159,1757,1847
"RGMA",4,0,61,52,64,0,14,0,0,0
"AC112693.2",0,2,0,0,0,0,0,0,0,0
"RP11-326A13.1",0,0,0,0,0,0,0,0,0,0
"RP11-266O8.1",0,0,0,1,0,0,0,0,0,0
"RP11-164C12.2",0,0,0,0,0,0,0,0,0,0
"RP11-739G5.1",0,0,0,0,0,0,0,0,0,0
"CTD-3049M7.1",0,2,1,0,1,0,0,0,0,2
"RP11-76E17.2",0,0,0,0,0,0,0,0,0,0
"RP11-76E17.3",0,0,24,0,0,2,6,2,0,4
"RP11-76E17.4",0,0,0,0,0,0,0,0,0,0
"CTD-2643K12.2",0,0,0,0,0,0,0,0,2,0
"CTD-2643K12.3",0,0,0,0,0,0,0,0,0,0
"MCTP2",215,66,16,14,9,2,37,20,0,12
"RP11-4F5.2",73,14,12,4,8,0,14,4,0,0
"RP11-57P19.1",0,0,0,0,0,0,0,0,0,0
"CTD-2576F9.2",2,6,18,11,36,0,0,1,0,0
"RP11-255M2.1",0,0,0,0,0,0,0,0,0,0
"RP11-255M2.2",0,0,0,0,0,0,0,0,0,0
"CTD-2536I1.1",2,0,48,20,36,0,10,29,0,0
"LINC00924",0,0,46,17,10,0,2,18,0,0
"RP11-398J10.2",0,0,0,0,0,0,0,0,0,0
"RP11-4G2.1",0,0,0,0,0,0,0,0,0,0
"RP11-236L14.1",0,0,0,0,0,2,0,2,0,0
"NR2F2-AS1",29,35,14,23,4,4,10,21,0,10
"RP11-327J17.2",4,4,77,50,20,18,11,65,91,48
"RP11-327J17.1",0,0,0,0,0,0,0,0,0,0
"AC016251.1",0,0,0,0,0,0,0,0,0,0
"NR2F2",1355,1144,951,1089,1523,442,977,2299,822,485
"RP11-522B15.3",2,0,4,1,4,0,0,9,2,0
"AC087477.1",0,0,1,0,2,0,0,2,0,0
"RP11-522B15.4",0,1,2,0,2,0,0,2,0,0
"RP11-522B15.5",0,0,0,0,0,0,0,0,0,0
"RP11-522B15.7",0,0,3,0,6,0,2,0,0,0
"SPATA8-AS1",0,0,0,0,0,0,0,0,0,0
"SPATA8",0,0,0,0,0,0,2,0,0,0
"RP11-315L6.1",4,0,0,0,0,0,0,0,0,0
"CTD-2147F2.1",0,0,0,0,0,0,0,0,0,0
"CTD-2147F2.2",0,0,0,0,0,0,0,0,0,0
"RP11-461F11.1",0,0,0,0,0,0,0,0,0,0
"RP11-461F11.3",0,0,1,0,1,0,0,0,0,0
"LINC00923",0,30,0,0,0,0,0,4,0,4
"RP11-753A21.2",0,0,0,0,0,0,0,0,0,0
